feature,importance
x_32,0.13694020624042652
x_36,0.060213589118047084
x_73,0.029908102927103886
x_31,0.02891028033786859
x_14,0.02587768127846101
x_62,0.022194307187714327
x_22,0.020963962958247907
x_55,0.01650357448962422
x_30,0.015160555470626072
x_94,0.014892557080038697
x_67,0.014377733323641692
x_11,0.014233659809939176
x_35,0.01386488355727473
x_41,0.013351744293554584
x_33,0.013349803196857917
x_42,0.01284583873449922
x_93,0.012185016966149922
x_54,0.01193975494289408
x_25,0.011535756341803328
x_16,0.011375291595780334
x_28,0.010444396240924289
x_34,0.010321980420406173
x_95,0.010175627344900748
x_82,0.009940306781048496
x_37,0.009886706175814691
x_61,0.009532411395767614
x_43,0.009451783991168495
x_04,0.009300483784989483
x_06,0.00929202023960499
x_26,0.009116664730521426
x_23,0.00895802062081878
x_09,0.008954076012806412
x_29,0.008828517093709578
x_52,0.008599412522325803
x_38,0.00859172246452893
x_21,0.008586079813759168
x_89,0.008456026673793292
x_10,0.00832241127394312
x_56,0.008280547274965303
x_57,0.007713511785805141
x_49,0.007397730528089862
x_70,0.007380461270005569
x_40,0.0073480675760445695
x_19,0.007338387593346926
x_91,0.007169869708974152
x_01,0.007124435478644584
x_03,0.007110529491202942
x_90,0.00697072655474896
x_53,0.006933202808439619
x_88,0.006918800665599076
x_51,0.006881443403611807
x_44,0.006810235166514136
x_84,0.006801371259025981
x_65,0.006562108117801466
x_20,0.006532989700873863
x_78,0.006494872546996979
x_60,0.006400456602332231
x_17,0.006352075869234499
x_79,0.006246276053414409
x_45,0.0062029175883259475
x_39,0.0061031553680778285
x_75,0.006081965613694629
x_12,0.006054282975350399
x_66,0.006046594398021852
x_76,0.005938740864196495
x_71,0.005891600480408599
x_27,0.0058339081119482255
x_13,0.005773094578939278
x_74,0.005722823014841516
x_68,0.005613813444695134
x_05,0.005593526190691936
x_77,0.0054930812353148695
x_83,0.005402922765005366
x_47,0.005261466783423032
x_87,0.005256476126472271
x_18,0.005061088848694554
x_80,0.005060544245156807
x_81,0.004973373357710073
x_59,0.004925677296028585
x_64,0.004924711275456087
x_86,0.004668905084707602
x_24,0.004641477534824615
x_02,0.004569733621174664
x_08,0.004428176304445946
x_92,0.004304980725859392
x_07,0.004230976021993897
x_69,0.004206850873233903
x_58,0.004129093540895323
x_15,0.00411596823114579
x_72,0.004082879112716171
x_85,0.003980968802978852
x_63,0.0037189183689636893
x_46,0.003551149371678661
x_50,0.0034944013787633716
x_48,0.0032181662696999748
C_05,0.0026268962675207296
C_03,0.002039368817254373
C_04,0.0015076400798042088
C_01,0.0011166381428284584
C_02,0.0
