feature,importance
x_32,0.1389952651523543
x_36,0.061262597060362724
x_73,0.02895618174937651
x_31,0.028585067039548422
x_14,0.026220054896482478
x_62,0.022942832179940368
x_22,0.019323940931233827
x_55,0.01598337170753267
x_94,0.015830947422398687
x_67,0.01575085086318523
x_30,0.01469764525236361
x_35,0.014420676490339146
x_11,0.013776357210018488
x_54,0.013077813666408214
x_41,0.01287914504715686
x_42,0.012541840797697408
x_33,0.01191275202832845
x_93,0.011652488231008798
x_16,0.011473262731095436
x_28,0.010510257190397205
x_37,0.010393480599984104
x_61,0.010351830306794067
x_25,0.010254313292644947
x_82,0.010055244509046518
x_95,0.009749158584992638
x_29,0.00958544389525696
x_43,0.009276060058328622
x_34,0.009253022416119671
x_06,0.009151024796874765
x_09,0.009139461104258584
x_26,0.008960804670669918
x_23,0.00892807392936283
x_10,0.008718580158306115
x_04,0.008552757499623273
x_38,0.00835185106876735
x_89,0.008293061794106205
x_57,0.008214583907644582
x_53,0.00816256635431294
x_44,0.008154007848015198
x_52,0.008061064113120759
x_49,0.007948767821551978
x_56,0.007907146349105967
x_90,0.007860051350129274
x_40,0.007739158285032829
x_65,0.007591056645767475
x_20,0.00744533243981265
x_01,0.00732620972914934
x_70,0.007241290120482108
x_88,0.007072682818904486
x_91,0.007002110970541403
x_13,0.006947197805554099
x_19,0.006863818928920157
x_03,0.006694068446789994
x_60,0.006625240686941772
x_51,0.006579221202712035
x_75,0.0064744447378811895
x_12,0.006458935103417628
x_84,0.006238051553220535
x_45,0.006222632793713893
x_78,0.006148255184430498
x_17,0.006096867172654482
x_27,0.006008525834730312
x_79,0.005950136159900246
x_74,0.005877073090010788
x_47,0.005873436907095617
x_66,0.005546891993949102
x_71,0.005515890320291878
x_68,0.005417350371686434
x_76,0.005290424171250946
x_64,0.005212631991825305
x_83,0.005095245635132762
x_77,0.005035059825010085
x_59,0.0050332822794687026
x_80,0.005018824764391515
x_08,0.004976068992897501
x_39,0.004920058490153247
x_87,0.004884649141323753
x_05,0.0048671198349089385
x_21,0.004751408898261946
x_07,0.004666888096241599
x_18,0.004658257483898033
x_02,0.0046269495180174935
x_86,0.004527909103406745
x_24,0.004399762777382867
x_69,0.004390227044094255
x_92,0.004382934792435168
x_81,0.00437464682999027
x_15,0.004269631994641608
x_85,0.004203006717040438
x_46,0.003995140747010364
x_58,0.003920996793144061
x_50,0.003900141889149586
x_63,0.0038794240678605278
C_05,0.003851422769801213
x_72,0.003580413620952099
x_48,0.0032650014817681523
C_03,0.0021638805335202032
C_04,0.001929790635012467
C_01,0.0008572157001710487
C_02,0.0
