feature,importance
x_32,0.14330627861700934
x_36,0.04816529234610754
x_62,0.04317377583251888
x_73,0.039345720317432754
x_14,0.03138571580659302
x_31,0.029886408684249872
x_93,0.022918622519863943
x_28,0.01813911508095159
x_25,0.014843576783221736
x_37,0.014373761359362738
x_35,0.013763222743862434
x_67,0.01173049573648353
x_94,0.011693440164691609
x_71,0.011652784615003308
x_95,0.011625151712379668
x_55,0.011564555937747727
x_22,0.011336245546030453
x_33,0.011289789540312695
x_41,0.01125522334303345
x_42,0.011083784067602586
x_40,0.010977319369679443
x_64,0.010565420436208166
x_10,0.01020775816656351
x_79,0.01001335688113718
x_54,0.009961095549832917
x_13,0.009455521557078645
x_23,0.009389406848675149
x_30,0.009380187668465705
x_16,0.009359342494184731
x_56,0.009001928659235556
x_03,0.008753523134950222
x_06,0.00868851467126245
x_77,0.008595680087895281
x_61,0.00841715545054924
x_88,0.008401990748177234
x_60,0.008348426587100874
x_09,0.00820427973414432
x_11,0.008067545057959973
x_01,0.007910182849646886
x_70,0.0075643923036145585
x_26,0.0075400153122264155
x_04,0.007486135207732616
x_21,0.007448534840928397
x_68,0.00724854940961243
x_45,0.007147685020531919
x_29,0.006894345496343173
x_57,0.006886854128432218
x_82,0.006862327003771425
x_66,0.006744159870952792
x_75,0.006689316949838595
x_81,0.0066328476027557055
x_49,0.006539112531561891
x_52,0.006196071536814968
x_47,0.006177158945062274
x_19,0.0060245011924384894
x_51,0.006013431662599148
x_91,0.0059769124275405785
x_80,0.005974844888860564
x_12,0.005786246561989664
x_74,0.005594956559840821
x_34,0.005560229255119876
x_89,0.0054926829078560495
x_43,0.005404835707090728
x_84,0.005379961144236446
x_07,0.00518718940235702
x_48,0.005185760997831333
x_76,0.005178964924943879
x_44,0.005143328041852557
x_69,0.005105458038256822
x_39,0.005100672295859426
x_90,0.0050683994946131615
x_02,0.005039640838180938
x_05,0.004835671217140015
x_87,0.004808387996740284
x_27,0.004626444968856534
x_65,0.0045200266854879805
x_17,0.0043778719466924295
x_86,0.004371556843997022
x_78,0.004348065876588891
x_92,0.004296925933319225
x_85,0.004136102672965229
x_38,0.004130441075772479
x_24,0.004060367692924612
x_08,0.004053772729884624
x_58,0.00403407849549587
x_50,0.004016567914570456
x_20,0.003905661494665601
x_59,0.0038351850333058477
x_18,0.0036907620948991296
x_53,0.0034733057289611812
x_72,0.0034200950224131405
x_83,0.003193963610332573
C_05,0.0031638527972906874
x_15,0.0030666275172091103
x_46,0.0030546032923109466
x_63,0.003033088102686038
C_04,0.0026688492175389587
C_03,0.0024456928171654306
C_01,0.0019249120119324966
C_02,0.0
